O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011.00,3.75,4.0,4.38,4.25,4.38,1.0,1.12,1.0,3.38,4.75,3.12,4.25,4.0,4.25,3.25,4.0,4.12,1.88,3.12,2.0,4.0,1.75,1.88,4.12,1.0,1.62,3.12,4.12,4.25,4.12,4.25,1.75,4.0,1.5,4.12
11-1011.03,3.75,4.0,4.0,3.75,4.12,1.0,1.12,1.0,3.25,3.88,3.38,2.88,2.25,3.12,2.88,3.75,3.12,2.0,2.88,2.0,3.88,1.88,1.88,4.0,1.0,2.12,3.25,3.88,4.0,3.88,3.88,1.88,3.38,1.0,4.12
11-1021.00,3.62,4.0,3.62,3.88,3.88,1.0,1.0,1.0,3.0,3.62,3.0,3.0,3.12,3.75,2.62,4.0,3.5,1.88,2.5,2.25,3.62,1.5,2.38,4.0,1.0,1.5,3.25,3.75,4.0,3.12,3.12,1.5,3.62,1.75,3.5
11-2011.00,3.25,4.12,3.5,3.5,4.0,1.0,1.12,1.0,2.88,3.75,3.0,2.75,2.62,3.12,3.0,3.25,3.12,1.0,2.75,1.62,3.38,1.75,1.62,3.75,1.0,1.62,3.12,4.0,4.0,3.12,3.12,1.75,3.5,1.0,3.75
11-2021.00,3.88,3.88,3.62,3.5,3.88,1.0,1.0,1.0,3.0,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1.0,3.38,1.75,3.75,1.88,1.88,3.88,1.0,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1.0,3.25
11-2022.00,3.75,4.0,3.75,3.75,3.88,1.0,1.0,1.0,3.75,3.88,3.12,3.0,2.75,3.88,3.0,3.88,4.0,1.75,2.62,1.75,3.88,1.62,1.75,3.88,1.0,1.62,3.62,3.88,4.0,3.62,3.62,1.5,3.75,1.0,3.62
11-2033.00,3.38,4.0,3.62,3.75,4.12,1.0,1.0,1.0,2.62,3.75,2.62,3.25,2.62,3.12,3.0,3.12,3.38,1.12,2.0,1.75,4.0,1.88,1.25,3.88,1.0,1.25,3.38,4.0,4.12,3.12,3.0,1.75,3.5,1.0,3.88
11-3012.00,3.12,4.0,3.25,3.75,3.75,1.0,1.12,1.0,3.0,3.25,3.0,2.88,2.88,3.38,2.25,3.38,3.62,1.62,2.75,2.25,3.0,1.38,2.25,4.0,1.0,1.0,3.25,3.25,3.88,3.12,2.75,1.5,4.0,1.88,3.75
11-3013.00,3.12,3.75,3.38,3.62,3.75,2.38,2.25,1.12,3.25,3.5,3.0,2.5,2.75,3.5,2.75,3.75,3.0,2.25,1.88,2.88,3.12,1.62,2.88,3.75,2.25,1.5,3.0,3.62,3.88,3.0,3.0,1.62,3.38,2.62,3.25
11-3013.01,3.62,4.12,4.0,3.88,4.25,1.75,2.0,1.0,3.38,4.12,3.38,3.62,3.25,3.75,2.5,4.0,3.38,2.0,2.25,2.25,3.38,1.62,2.5,4.12,1.75,1.38,3.38,4.0,4.0,3.25,3.38,1.62,3.5,2.0,3.75
11-3021.00,3.38,4.0,3.75,3.75,4.12,1.38,1.88,1.0,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,3.12,2.88,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75
11-3031.00,3.5,4.0,3.62,3.62,4.0,1.0,1.25,1.0,2.88,3.62,3.0,3.12,2.38,3.62,3.5,3.75,3.12,1.12,1.75,1.88,3.38,1.88,1.88,4.0,1.0,1.25,3.62,3.62,4.0,3.0,3.0,1.62,3.62,1.25,3.75
11-3031.01,3.62,3.88,4.12,3.38,4.12,1.0,1.0,1.0,2.88,4.12,3.0,4.0,2.75,3.12,3.75,3.88,3.12,1.12,2.62,1.88,3.0,1.62,1.88,4.12,1.0,1.25,2.75,3.12,4.0,3.25,3.62,1.62,3.38,1.0,3.62
11-3031.03,3.75,4.0,3.75,3.12,4.0,1.0,1.0,1.0,3.0,3.88,2.88,2.75,2.25,2.88,3.38,3.5,3.0,1.0,2.0,1.88,3.12,1.75,1.5,4.0,1.0,1.0,2.88,3.0,3.88,3.38,3.25,1.88,3.25,1.0,3.62
11-3051.00,3.62,3.88,3.62,4.0,4.0,2.0,2.12,1.0,3.12,4.0,3.75,3.38,3.25,3.88,3.38,4.0,3.25,2.75,2.88,3.12,3.12,1.62,3.12,3.88,2.12,1.62,3.0,3.5,4.0,3.75,3.38,1.62,3.88,2.25,3.38
